,NN_model1,NN_model2,NN_model3,NN_model4,LR_model1,LR_model2,LR_model3,LR_model4,LR_model5,LR_model6,LR_model7,LR_model8,LR_model9
MAE,0.217,0.18,0.216,0.189,0.172,0.168,0.167,0.167,0.167,0.166,0.166,0.166,0.166
train_MAE,0.216,0.179,0.216,0.19,0.171,0.167,0.166,0.166,0.165,0.165,0.165,0.165,0.165
test_MAE,0.22,0.183,0.217,0.189,0.174,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
MSE,0.071,0.047,0.069,0.052,0.044,0.042,0.042,0.041,0.041,0.041,0.041,0.041,0.041
train_MSE,0.071,0.047,0.07,0.052,0.044,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041
test_MSE,0.071,0.046,0.069,0.05,0.044,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042
RMSE,0.267,0.217,0.263,0.228,0.209,0.205,0.204,0.203,0.203,0.203,0.203,0.203,0.203
train_RMSE,0.517,0.465,0.513,0.477,0.457,0.453,0.451,0.451,0.451,0.45,0.45,0.45,0.45
test_RMSE,0.517,0.465,0.513,0.477,0.457,0.453,0.451,0.451,0.451,0.45,0.45,0.45,0.45
MEAN,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419
R2,-0.063,0.299,-0.036,0.227,0.348,0.373,0.38,0.383,0.384,0.385,0.386,0.387,0.387
